axial_strain_pct,deviator_stress_kPa,q_smooth_kPa
4.760147601476015,258.4788029925187,258.4788029925187
4.782287822878229,258.4788029925187,258.4788029925187
4.804428044280443,258.1047381546135,258.4788029925187
4.826568265682656,258.4788029925187,258.1047381546135
4.848708487084871,258.1047381546135,258.1047381546135
4.870848708487085,257.35660847880297,257.35660847880297
4.892988929889299,256.6084788029925,256.6084788029925
4.915129151291513,255.11221945137157,255.11221945137157
4.937269372693727,252.49376558603493,252.49376558603493
4.959409594095941,251.3715710723192,251.3715710723192
4.981549815498155,250.62344139650875,250.62344139650875
5.00369003690037,250.24937655860347,250.24937655860347
5.025830258302583,250.24937655860347,250.24937655860347
5.047970479704797,249.87531172069825,250.24937655860347
5.070110701107011,250.24937655860347,249.87531172069825
5.092250922509225,249.87531172069825,249.87531172069825
5.114391143911439,249.12718204488777,249.12718204488777
5.136531365313653,248.75311720698255,248.75311720698255
5.158671586715867,247.2568578553616,247.2568578553616
5.180811808118081,245.38653366583543,245.38653366583543
5.202952029520295,245.01246882793018,245.01246882793018
5.2250922509225095,244.2643391521197,244.2643391521197
5.247232472324724,244.2643391521197,244.2643391521197
5.269372693726937,244.2643391521197,244.2643391521197
5.291512915129152,243.89027431421445,244.2643391521197
5.313653136531365,244.2643391521197,243.89027431421445
5.335793357933579,243.89027431421445,243.89027431421445
5.357933579335794,242.01995012468828,242.01995012468828
5.380073800738007,240.89775561097255,240.89775561097255
5.402214022140221,240.14962593516208,240.14962593516208
5.424354243542435,235.66084788029926,235.66084788029926
5.446494464944649,235.66084788029926,235.66084788029926
5.468634686346864,235.66084788029926,235.66084788029926
5.490774907749078,234.91271820448875,234.91271820448875
5.512915129151292,234.91271820448875,234.91271820448875
5.535055350553506,234.53865336658353,234.53865336658353
5.557195571955719,234.1645885286783,234.53865336658353
5.5793357933579335,234.53865336658353,234.1645885286783
5.601476014760148,234.1645885286783,234.1645885286783
5.623616236162361,234.1645885286783,234.1645885286783
5.645756457564576,233.4164588528678,233.4164588528678
5.667896678966789,132.41895261845386,231.92019950124688
5.6900369003690034,132.04488778054863,231.1720698254364
5.712177121771218,231.92019950124688,132.41895261845386
5.734317343173432,231.1720698254364,132.41895261845386
5.756457564575646,131.29675810473816,132.41895261845386
5.778597785977859,32.917705735660846,229.3017456359102
5.800738007380074,33.66583541147132,229.67581047381543
5.822878228782288,229.3017456359102,229.3017456359102
5.845018450184502,230.42394014962593,228.1795511221945
5.867158671586716,230.0498753117207,228.1795511221945
5.88929889298893,229.67581047381543,228.1795511221945
5.911439114391143,228.1795511221945,228.1795511221945
5.933579335793358,225.1870324189526,225.1870324189526
5.955719557195572,224.43890274314217,224.43890274314217
5.977859778597786,223.69077306733166,223.69077306733166
6.0,223.31670822942644,223.31670822942644
6.022140221402214,223.31670822942644,223.31670822942644
6.0442804428044274,222.9426433915212,223.31670822942644
6.0664206642066425,223.31670822942644,222.9426433915212
6.088560885608857,222.9426433915212,222.9426433915212
6.11070110701107,222.56857855361596,222.56857855361596
6.132841328413283,222.19451371571074,222.19451371571074
6.154981549815499,126.80798004987531,220.6982543640898
6.177121771217712,31.4214463840399,220.6982543640898
6.199261992619926,126.43391521197007,220.6982543640898
6.22140221402214,220.6982543640898,220.6982543640898
6.243542435424354,220.6982543640898,220.6982543640898
6.265682656826568,221.44638403990024,221.44638403990024
6.287822878228782,222.19451371571074,221.44638403990024
6.3099630996309966,222.19451371571074,221.44638403990024
6.33210332103321,222.56857855361596,221.44638403990024
6.354243542435425,222.19451371571074,221.44638403990024
6.376383763837639,221.44638403990024,221.44638403990024
6.398523985239852,32.54364089775561,216.95760598503742
6.420664206642066,32.54364089775561,215.8354114713217
6.4428044280442816,216.95760598503742,215.46134663341647
