figure_id,specimen_id,stage,stage_index,scale_factor,lambda_incremental
F-45,ST-79B,2nd,2,2.0,4.470910180573907
F-45,ST-79B,3rd,3,0.5,4.351672548275044
F-45,ST-79B,3rd,3,0.75,4.351672558889103
F-45,ST-79B,3rd,3,1.0,4.351672548275044
F-45,ST-79B,3rd,3,1.25,4.351672567008421
F-45,ST-79B,3rd,3,1.5,4.351672558889103
F-45,ST-79B,3rd,3,2.0,4.351672548275044
F-46,ST-80A,1st,1,0.5,0.6175199042272934
F-46,ST-80A,1st,1,0.75,0.6175199045705275
F-46,ST-80A,1st,1,1.0,0.6175199042272934
F-46,ST-80A,1st,1,1.25,0.6175199048707863
F-46,ST-80A,1st,1,1.5,0.6175199045705275
F-46,ST-80A,1st,1,2.0,0.6175199042272934
F-46,ST-80A,2nd,2,0.5,1.6856383726779915
F-46,ST-80A,2nd,2,0.75,1.6856383421244838
F-46,ST-80A,2nd,2,1.0,1.6856383726779915
F-46,ST-80A,2nd,2,1.25,1.6856383309915532
F-46,ST-80A,2nd,2,1.5,1.6856383421244838
F-46,ST-80A,2nd,2,2.0,1.6856383726779915
F-46,ST-80A,3rd,3,0.5,1.824511273376009
F-46,ST-80A,3rd,3,0.75,1.824511184771593
F-46,ST-80A,3rd,3,1.0,1.824511273376009
F-46,ST-80A,3rd,3,1.25,1.824511269917561
F-46,ST-80A,3rd,3,1.5,1.824511184771593
F-46,ST-80A,3rd,3,2.0,1.824511273376009
F-47,ST-80B,1st,1,0.5,0.6445204579206063
F-47,ST-80B,1st,1,0.75,0.6445204586948671
F-47,ST-80B,1st,1,1.0,0.6445204579206063
F-47,ST-80B,1st,1,1.25,0.6445204584231946
F-47,ST-80B,1st,1,1.5,0.6445204586948671
F-47,ST-80B,1st,1,2.0,0.6445204579206063
F-47,ST-80B,2nd,2,0.5,0.4451784730914359
F-47,ST-80B,2nd,2,0.75,0.4451784732955395
F-47,ST-80B,2nd,2,1.0,0.4451784730914359
F-47,ST-80B,2nd,2,1.25,0.44517847333353333
F-47,ST-80B,2nd,2,1.5,0.4451784732955395
F-47,ST-80B,2nd,2,2.0,0.4451784730914359
F-47,ST-80B,3rd,3,0.5,2.4522980266935797
F-47,ST-80B,3rd,3,0.75,2.452298033006816
F-47,ST-80B,3rd,3,1.0,2.4522980266935797
F-47,ST-80B,3rd,3,1.25,2.4522980338583182
F-47,ST-80B,3rd,3,1.5,2.452298033006816
F-47,ST-80B,3rd,3,2.0,2.4522980266935797
F-47,ST-80B,4th,4,0.5,0.7225674098926851
F-47,ST-80B,4th,4,0.75,0.7225674096965892
F-47,ST-80B,4th,4,1.0,0.7225674098926851
F-47,ST-80B,4th,4,1.25,0.7225674097093137
F-47,ST-80B,4th,4,1.5,0.7225674096965892
F-47,ST-80B,4th,4,2.0,0.7225674098926851
