figure_id,specimen_id,tube_id,soil_type,test_family,stage,stage_index,digitization_status,strain_confidence,sigma_c_net_kPa,matric_suction_kPa,gamma_d_g_cm3,degree_saturation,q_peak_source_kPa,q_peak_digitized_kPa,eps_peak_pct,eps50_pct,E_0p1_MPa,E50_MPa,lambda_mobilization,E_i_model_MPa,prepeak_nrmse,postpeak_available,postpeak_reason,residual_ratio_model,beta_softening_per_pct,postpeak_nrmse,terminal_strength_ratio,piecewise_total_nrmse,n_curve_points
F-32,ST-57,ST-57,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,131.0,10.3,1.69,0.9,318.4,312.89805475504323,3.020257826887661,1.1451875412982795,33.68605007204611,13.901653158007438,0.7670144749911346,18.628125182840687,0.019080910662926796,False,insufficient_postpeak,,,,0.9785735232357755,0.019080910662926793,206
F-32,ST-57,ST-57,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,131.0,41.4,1.69,0.79,366.5,366.5,1.561694290976059,0.5282820310444618,32.74207492795389,34.68791085657371,1.0882572405101605,49.0074327010975,0.04515527748039182,False,hardening_or_truncated,,,,0.9985590778097984,0.04056176362927931,133
F-32,ST-57,ST-57,ML,multistage,3rd,3,USABLE_REVIEW_X,template_axis,131.0,62.1,1.7,0.7,377.8,378.11815561959656,1.1639042357274405,0.5093167914094553,39.62055115273791,37.0889008935379,0.36340936806178503,44.25587977449083,0.014458991654137889,True,fitted,5.186788013007148e-12,0.06228973271787195,0.007138206843261734,0.9561117527075453,0.012191718449610013,130
F-33,ST-59A,ST-59,SC,multistage,1st,1,USABLE_REVIEW_X,template_axis,20.7,20.7,1.83,0.61,136.5,134.65061538461538,2.5018726591760303,0.9605424828292023,12.077215283400808,7.10535985862645,0.5971660063513222,8.713999054562441,0.02733575515357022,False,insufficient_postpeak,,,,0.9691452299387521,0.02733575515357022,168
F-33,ST-59A,ST-59,SC,multistage,2nd,2,USABLE_REVIEW_X,template_axis,20.7,137.9,1.83,0.43,252.4,255.91491228070177,2.1872659176029967,0.4087161471101862,35.582015688259084,30.87717500086377,4.346558774498098,61.696724839117515,0.04523036598541561,True,fitted,5.500751073477634e-22,0.021573439943386376,0.01566405765739152,0.9179929652395037,0.030842596930032433,375
F-35,ST-62,ST-62,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,41.4,41.4,1.72,0.81,174.4,175.1289321789322,2.339622641509434,0.5463636225295955,38.40271203385553,15.960066959852647,2.444090507019552,25.672917237486388,0.036708193986136256,False,insufficient_postpeak,,,,1.0014778283157761,0.036708193986136256,156
F-35,ST-62,ST-62,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,41.4,69.0,1.73,0.78,218.6,217.6939013452915,1.6905660377358491,0.4376735559554989,26.662005594057177,24.97295039024776,2.5206470266803382,45.524009287626185,0.055671156210798885,True,fitted,2.5052136975215206e-12,0.030330079348380876,0.005304703635619807,0.8837674175248383,0.029678972624564093,407
F-36,ST-64,ST-64,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,75.8,34.5,1.68,0.8,237.9,238.39041297935103,2.3547169811320754,0.6821650548281624,43.559394728312974,17.43712891155991,1.877808970267375,29.07486375273257,0.03239308819413617,False,insufficient_postpeak,,,,0.9924875896121073,0.03032775697711137,180
F-36,ST-64,ST-64,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,75.8,69.0,1.69,0.7,257.9,257.3705414012739,0.9811320754716985,0.3050719135861449,35.919893038489015,42.26872231015382,1.5614651664373538,67.33057484708124,0.0564516364157612,True,fitted,0.8054859319999161,0.8000675812619433,0.005948981781722218,0.8198473463366444,0.026826810893782,304
F-37,ST-81,ST-81,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,20.7,96.5,1.24,0.42,150.1,154.34133932841527,2.590909090909091,0.7244898410791701,23.83886033191365,10.35901343878178,2.0879595144460916,17.88957878702436,0.03820335121749804,False,insufficient_postpeak,,,,1.0066226427330334,0.038006211889838375,176
F-37,ST-81,ST-81,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,20.7,117.2,1.25,0.39,163.6,163.8921647819063,1.8333333333333333,0.4349374667430244,22.310728259355095,18.807301337488628,2.8101903466204847,34.000753129478795,0.05631309693462766,False,hardening_or_truncated,,,,0.9901100225623968,0.042642380256728306,217
F-37,ST-81,ST-81,ML,multistage,3rd,3,USABLE_REVIEW_X,template_axis,41.4,117.2,1.26,0.39,199.6,198.6571694326137,2.454545454545454,0.6751286544152806,19.865716943261408,14.782367678710864,1.9766773456262743,24.205899185396476,0.036703778263954566,False,insufficient_postpeak,,,,0.9952763999629946,0.03564528199293569,173
F-37,ST-81,ST-81,ML,multistage,4th,4,USABLE_REVIEW_X,template_axis,62.1,117.2,1.26,0.39,236.9,236.47843822843825,2.333333333333333,0.5190373763908379,28.65247636047309,22.82109254320955,3.122536890156355,41.85552811191603,0.040638128595396034,False,insufficient_postpeak,,,,0.996607873407761,0.03975244365586455,162
F-38,ST-30,ST-30,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,48.3,6.9,1.4,0.84,133.6,133.6,1.696060037523452,0.4953095684803002,30.860448275862066,13.48651515151515,1.6491763454832764,20.86777306971787,0.04449854075145999,False,insufficient_postpeak,,,,0.9793103448275863,0.04430464640537058,115
F-38,ST-30,ST-30,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,48.3,48.3,1.4,0.7,196.2,195.33241379310343,1.425891181988743,0.2750259331243703,42.66562068965516,35.6693635707575,3.2244432717467917,58.12756123231737,0.027671855539625617,False,insufficient_postpeak,,,,0.9861858061794792,0.026384156852398172,109
F-38,ST-30,ST-30,ML,multistage,3rd,3,USABLE_REVIEW_X,template_axis,96.5,48.3,1.41,0.71,311.9,315.57241379310346,4.352720450281426,0.5226633305353914,33.76855172413798,29.837562899285906,6.9593164574219495,57.03354560501119,0.02193761686260155,False,hardening_or_truncated,,,,1.0029120739405868,0.019502130650144753,376
F-39,ST-83,ST-83,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,41.4,75.8,1.43,0.49,161.7,161.7,2.4842883548983363,0.2495378927911274,68.20778403525956,32.39988888888891,5.858299354618212,44.64002753364545,0.07389478590121307,False,insufficient_postpeak,,,,0.9882468168462292,0.07346157257097775,171
F-39,ST-83,ST-83,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,41.4,103.4,1.43,0.44,190.9,196.0671890303624,3.4750462107208873,0.41802109517979597,28.507345739471106,22.833775878929217,8.57722857627614,52.61204669942624,0.04325282076438657,False,insufficient_postpeak,,,,1.0171120969847964,0.043252820764386565,236
F-39,ST-83,ST-83,ML,multistage,3rd,3,USABLE_REVIEW_X,template_axis,41.4,124.1,1.43,0.41,217.4,209.3706170421156,2.410351201478743,0.5876413123763079,22.37034769833499,18.497678381466784,2.5473316189270974,31.99491814643561,0.0333255784627595,True,fitted,0.9449212262512117,11.380536226684972,0.013828180182888996,0.9266417198356139,0.026935499731894075,280
F-40,ST-74,ST-74,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,62.1,55.2,1.73,0.71,272.0,275.4474622770919,3.625468164794007,1.2137078041396128,35.019309484120775,11.20533290930013,1.1040411088271778,15.785524947052167,0.02444096244967272,False,insufficient_postpeak,,,,1.007066327957187,0.024104120350986056,252
F-40,ST-74,ST-74,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,62.1,82.7,1.73,0.69,321.7,317.723417721519,2.1573033707865172,0.5427582713305098,27.92610149589352,29.635660752934196,2.591537319871672,53.557490867938434,0.06146861886670707,True,fitted,3.932747504322115e-20,0.03120046080320206,0.0041500713119833445,0.9280282737465126,0.04161483808818425,318
F-41,ST-87,ST-87,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,117.2,20.7,1.55,0.89,318.0,318.4112359550562,4.584103512014787,1.5761184137223698,43.32199839486357,10.08807451367087,0.9748019156223555,13.699232740316084,0.030051513519842248,False,insufficient_postpeak,,,,0.9816984160634786,0.029860456251343138,315
F-41,ST-87,ST-87,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,117.2,55.2,1.55,0.67,388.2,388.2000000000001,2.484288354898336,0.6592729513247071,35.51749598715891,29.44152336448599,2.2698644913442263,51.09557403177436,0.04545048677256739,False,insufficient_postpeak,,,,0.9967897271268057,0.04545048677256739,169
F-41,ST-87,ST-87,ML,multistage,3rd,3,USABLE_REVIEW_X,template_axis,117.2,75.8,1.56,0.62,443.3,438.0491171749599,2.853974121996303,0.6353886562613318,47.925252808988944,34.884160712626354,3.387075528012156,68.14324511840505,0.05161261396441777,False,insufficient_postpeak,,,,0.9839381350798532,0.05075492193104864,201
F-42,ST-34A,ST-34,ML,multistage,1st,1,USABLE_REVIEW_X,template_axis,89.6,6.9,1.56,0.81,253.3,256.5302325581396,3.191176470588235,1.2112182946573122,29.810232558139546,10.456414055059568,0.8394293125089781,14.600491359621959,0.029792607713467246,False,insufficient_postpeak,,,,1.0017444155748767,0.029735116106791797,219
F-42,ST-34A,ST-34,ML,multistage,2nd,2,USABLE_REVIEW_X,template_axis,89.6,27.6,1.56,0.8,316.1,316.1,2.235294117647059,0.63201871657754,30.41860465116279,25.00717080909572,1.8758311226981628,40.66803606327136,0.043189161421960644,False,insufficient_postpeak,,,,0.9863672814755414,0.04318916142196064,153
F-42,ST-34A,ST-34,ML,multistage,3rd,3,USABLE_REVIEW_X,template_axis,89.6,55.2,1.56,0.73,351.2,347.2790697674419,1.9705882352941175,0.5762277388019423,35.893953488372325,30.474062280496394,1.6050854626952324,46.4280664073899,0.03907575955512536,True,fitted,0.8686937559891851,0.25581720724745827,0.0033174198926693333,0.9354240610266462,0.02549852083163892,320
