x_norm,stage1_mean,stage1_p025,stage1_p975,stage2_mean,stage2_p025,stage2_p975,delta_mean,delta_p025,delta_p975
0.5700000000000001,0.7166879355008251,0.69343245,0.7409972,0.8711744914518356,0.84421086,0.89576393,0.1544865559510106,0.122180454,0.18636045
0.5750000000000001,0.7219691493345689,0.69842374,0.7464,0.8742648266756328,0.8479416,0.8982493,0.15229567734106386,0.12027244,0.1842352
0.58,0.7270111891945733,0.70380545,0.75101006,0.876855432389256,0.8505147,0.9005738,0.14984424319468276,0.11804851,0.18151687
0.585,0.7319269846967379,0.7093743,0.7551129,0.880299751457373,0.85384804,0.90410304,0.14837276676063502,0.11749356,0.1791085
0.59,0.7365853261231385,0.7144135,0.75934666,0.8824651910273935,0.8559808,0.906295,0.14587986490425514,0.11498904,0.17635383
0.595,0.7408164586461152,0.7186595,0.7637653,0.885623025174797,0.85919756,0.90923244,0.14480656652868187,0.11316039,0.17604315
0.6,0.7455199862303585,0.72298336,0.7689505,0.8882675580461606,0.86216354,0.9117796,0.1427475718158021,0.111014314,0.17392744
0.605,0.7506968216229483,0.72841746,0.77398044,0.891224937622161,0.8652877,0.91468686,0.14052811599921272,0.10869658,0.17174336
0.61,0.7550362381324376,0.73252374,0.77834255,0.8944164381547322,0.86924976,0.91728586,0.13938020002229448,0.1077866,0.17045651
0.615,0.7593831511219243,0.7371355,0.78219855,0.8970394261892655,0.8724387,0.9193331,0.13765627506734113,0.106070094,0.16897443
0.62,0.7635095805471273,0.7412605,0.7863505,0.8992737847530216,0.8749523,0.9213293,0.13576420420589427,0.104091346,0.16716605
0.625,0.7679083512106082,0.7455603,0.790862,0.9010306303363499,0.8770651,0.92288625,0.13312227912574134,0.10129201,0.16420048
0.63,0.7724939929866997,0.7503661,0.795101,0.9034264361344797,0.88028014,0.92463493,0.13093244314777963,0.099791385,0.16132769
0.635,0.7767920109879421,0.7548816,0.7990693,0.9073343799311248,0.88549453,0.92744917,0.13054236894318227,0.10075608,0.15985544
0.64,0.7813735134086323,0.75962055,0.80359787,0.9116671961243803,0.8901664,0.93132627,0.13029368271574798,0.10125643,0.15887657
0.645,0.7859157799704581,0.76490873,0.80750555,0.9145033781705004,0.89280313,0.9343524,0.12858759820004226,0.1006621,0.15616283
0.65,0.7895226456511024,0.7693019,0.8103012,0.9159053915507338,0.8944696,0.93528354,0.12638274589963136,0.09931221,0.15312964
0.655,0.7925286362265497,0.7724437,0.8130059,0.9187720474483686,0.8979775,0.9373277,0.12624341122181892,0.09995067,0.15228915
0.66,0.7958420912535473,0.7759963,0.8160318,0.9212562776277302,0.90102667,0.9393544,0.12541418637418303,0.09956119,0.15120043
0.665,0.8003627002368857,0.780841,0.8203217,0.9236857920655335,0.90361065,0.941795,0.12332309182864762,0.09783278,0.14906558
0.67,0.8050420268558381,0.7859862,0.8245332,0.9255484049876738,0.90579945,0.94363385,0.1205063781318352,0.095935814,0.14532334
0.675,0.8086169321939329,0.79000616,0.8277248,0.9275689886963997,0.9084147,0.9451803,0.11895205650246653,0.09465034,0.14352153
0.68,0.8119621965167041,0.79371315,0.83070797,0.9302069438422286,0.9119005,0.94698435,0.11824474732552408,0.09433422,0.14221507
0.685,0.8156146898589831,0.79744077,0.834395,0.932088234753754,0.91348606,0.9491422,0.11647354489477063,0.09217942,0.14050391
0.6900000000000001,0.8193646937824083,0.8010303,0.83818597,0.9330773334685103,0.91465145,0.95005083,0.1137126396861019,0.08988709,0.1375476
0.6950000000000001,0.8226831087454213,0.8041934,0.84149384,0.9351890148793321,0.91734695,0.95159715,0.11250590613391087,0.08952546,0.13581908
0.7000000000000001,0.8264617749604044,0.80815744,0.8452051,0.9369350223986633,0.9196864,0.95286894,0.11047324743825888,0.088040784,0.1334165
0.705,0.8304326025340976,0.812192,0.8491265,0.9388764077663291,0.9220376,0.95444334,0.10844380523223168,0.08599041,0.13144873
0.71,0.8344079312719446,0.8160501,0.8532323,0.9398877859794068,0.9231644,0.95518684,0.10547985470746221,0.08299554,0.12876461
0.715,0.8381277904902087,0.81972003,0.856863,0.9410397496157368,0.9243306,0.9561912,0.10291195912552818,0.08039263,0.1262964
0.72,0.8412090952921132,0.8226981,0.8598799,0.9423704707471889,0.92600715,0.9571899,0.10116137545507582,0.07863019,0.124562085
0.725,0.8446017199595318,0.8258221,0.8634152,0.9437248171230797,0.9274214,0.95837164,0.09912309716354778,0.076775365,0.12242041
0.73,0.8488002842426539,0.8299234,0.8677065,0.9450541083637874,0.9287621,0.95974344,0.09625382412113344,0.074227296,0.11944959
0.735,0.852866847232252,0.8338335,0.87194455,0.9467426750964221,0.93061537,0.9612803,0.09387582786416997,0.07171142,0.11727436
0.74,0.8572451028483864,0.8385453,0.87611735,0.949204282641146,0.9338273,0.96313053,0.09195917979275972,0.07034837,0.11454095
0.745,0.8618733921061354,0.843936,0.88026196,0.9509359807862935,0.9361578,0.9642909,0.08906258868015812,0.068256356,0.110345446
0.75,0.8667884117523297,0.84979606,0.88456124,0.9517943943674116,0.9370932,0.96504444,0.08500598261508216,0.064987354,0.10503574
0.755,0.8706745230176834,0.85396016,0.8881462,0.9533002200986915,0.9385867,0.9664689,0.08262569708100824,0.063163586,0.102096274
0.76,0.8746256587896782,0.8586635,0.8916555,0.954634470711754,0.9402695,0.9674736,0.08000881192207572,0.061778765,0.09811728
0.765,0.8779725974942656,0.8624235,0.8946263,0.9561340458429611,0.9421544,0.9685203,0.07816144834869544,0.060512967,0.095829256
0.77,0.8817573324242136,0.86650825,0.89799464,0.9577091240111607,0.94396544,0.9697903,0.07595179158694705,0.058584772,0.09318553
0.775,0.8853310127112807,0.87017447,0.90146434,0.9586872076660841,0.9450438,0.9706679,0.07335619495480336,0.05603094,0.090284996
0.78,0.8879621470356616,0.8730754,0.90392566,0.9595711607230791,0.94586295,0.97157073,0.07160901368741729,0.054240268,0.08853744
0.785,0.890812360914503,0.87642944,0.90628093,0.9608780748463153,0.9470437,0.9729542,0.07006571393181217,0.05296411,0.08683589
0.79,0.8931181669746364,0.87871224,0.90851045,0.9620019564938436,0.9480907,0.9740896,0.0688837895192069,0.05163514,0.085857294
0.795,0.8959389146718214,0.88163716,0.9111702,0.9633001554819356,0.9495574,0.97511417,0.06736124081011402,0.0500725,0.08449018
0.8,0.8990154210153793,0.88494843,0.91394037,0.9645378953543108,0.95074135,0.976515,0.06552247433893105,0.0485676,0.08231961
0.805,0.9024914541984269,0.8884866,0.9171943,0.9657386175963527,0.9525125,0.9772315,0.06324716339792563,0.046671677,0.0796854
0.81,0.9051446345359427,0.8910586,0.9198371,0.9666867903044076,0.9540076,0.97769034,0.061542155768464744,0.04509463,0.07778555
0.8150000000000001,0.9080200580652574,0.89398336,0.922593,0.9679265029867948,0.95585227,0.97848856,0.059906444921537155,0.043792505,0.07582863
0.8200000000000001,0.9112254088798059,0.89725727,0.9257467,0.9690787586739512,0.9574902,0.9792499,0.05785334979414521,0.04216268,0.0733744
0.8250000000000001,0.9139837489244927,0.90030324,0.9280916,0.9695524093127741,0.9579822,0.97973907,0.055568660388281566,0.04008797,0.07096187
0.8300000000000001,0.9162730233713048,0.90249205,0.93041736,0.9701997969974444,0.95854115,0.9805015,0.053926773626139644,0.038271587,0.069631316
0.835,0.9183611454124172,0.90414417,0.9327537,0.9710927698049091,0.95931923,0.9814057,0.052731624392492044,0.0369139,0.068517126
0.84,0.9200348516142937,0.9052965,0.9346708,0.9718386264191626,0.9598711,0.98219377,0.05180377480486898,0.035563402,0.06804877
0.845,0.9213168423264229,0.90625596,0.936093,0.9726678422134749,0.9608378,0.983039,0.051350999887051996,0.035150263,0.06766296
0.85,0.9231006109284549,0.90776336,0.9379851,0.9740077469532946,0.962446,0.9843083,0.05090713602483984,0.03490456,0.06715182
0.855,0.9247593046966551,0.90926754,0.93980294,0.9755965765778493,0.96439564,0.98564947,0.05083727188119427,0.03504452,0.06702378
0.86,0.9266031086652556,0.9109027,0.94177496,0.9771074989802755,0.9663048,0.98719823,0.05050439031502002,0.03489148,0.06649368
0.865,0.9287713799051416,0.9131004,0.9440262,0.9782560959557564,0.9678836,0.9880169,0.0494847160506149,0.033563968,0.0658823
0.87,0.9314819790252239,0.9161026,0.9465532,0.9799605821048887,0.96988475,0.98942643,0.04847860307966454,0.032099243,0.0656216
0.875,0.9341234572259197,0.91907245,0.9489412,0.9810526003037009,0.97118556,0.9904272,0.046929143077781336,0.030831378,0.06360166
0.88,0.9375098472521616,0.92301446,0.9517956,0.982548186277776,0.9729471,0.9917342,0.0450383390256145,0.029697837,0.060561262
