figure_id,specimen_id,tube_id,soil_type,stage_index,q0_fraction,q0_kPa,q0_over_qpeak,y25,y50,y75,mean_y_10_90
F-33,ST-59A,ST-59,SC,1,0.1,12.598887989203778,0.09229954570845258,0.2923444542273732,0.5370240517872401,0.8055360776808601,0.5478487111309298
F-33,ST-59A,ST-59,SC,1,0.15,20.27633535762483,0.14854458137454088,0.24559848193026718,0.5064410075665511,0.7926902727128624,0.5179807170908385
F-33,ST-59A,ST-59,SC,2,0.02,22.44176923076923,0.08891350725344385,0.5898240869877154,0.8834520432094669,0.987891141340818,0.7954832918030753
F-33,ST-59A,ST-59,SC,2,0.05,28.74121322537112,0.11387168472809477,0.5782713095215689,0.8801694208851895,0.9875500902331817,0.7897229925193943
F-33,ST-59A,ST-59,SC,2,0.1,36.22180296896086,0.1435095204792427,0.563677889093895,0.8760228260231463,0.9871192758930247,0.7824466064310863
F-33,ST-59A,ST-59,SC,2,0.15,52.3641282051282,0.20746485025803565,0.528467937204866,0.8660182211178444,0.9860798381364538,0.7648906670702572
F-35,ST-62,ST-62,ML,1,0.02,30.235264075734925,0.17336733988380118,0.4063804653282466,0.7185198844074494,0.9320602897810053,0.6763599327799197
F-35,ST-62,ST-62,ML,1,0.05,33.455123366917086,0.19182983581947868,0.3928193383132088,0.7120895239209657,0.9305082198341258,0.6689664361000071
F-35,ST-62,ST-62,ML,1,0.1,39.894841949281414,0.2287548276908338,0.3637492814723975,0.6983052016709268,0.9271811540580533,0.6531175049234849
F-35,ST-62,ST-62,ML,1,0.15,46.334560531645735,0.26567981956218883,0.33175567264120837,0.6831346013351315,0.9235194879808869,0.6356746596194391
F-35,ST-62,ST-62,ML,2,0.02,14.45010023359799,0.0661029287904757,0.44315570505003776,0.8293782118818414,0.9663256346229986,0.7333469975603658
F-35,ST-62,ST-62,ML,2,0.05,18.455291059214826,0.08442493622696627,0.43201242940096474,0.8259638182461676,0.9656517609044266,0.7280108776866678
F-35,ST-62,ST-62,ML,2,0.1,23.245813419266334,0.10633949414120007,0.41808410155291253,0.8216960611289934,0.9648094651221054,0.7213410949963731
F-35,ST-62,ST-62,ML,2,0.15,27.957802625874372,0.12789479700765952,0.40370123422131493,0.8172890292807027,0.9639396817121187,0.7144536494529001
F-36,ST-64,ST-64,ML,1,0.02,31.317211896172708,0.13164023495658977,0.3941507018925771,0.7010186143217629,0.9068222442143904,0.6568525527274806
F-36,ST-64,ST-64,ML,1,0.05,33.59482730680345,0.14121407022615995,0.38739663061920093,0.6976855385971699,0.9057834888578435,0.6530271091338417
F-36,ST-64,ST-64,ML,1,0.1,47.070718486368676,0.1978592622377834,0.34413609808179285,0.6763368401607488,0.8991301522137011,0.6285247430269006
F-36,ST-64,ST-64,ML,1,0.15,58.64859682374162,0.24652625819143179,0.3017737381352044,0.6554313821252333,0.8926149517472883,0.6045310935805426
F-36,ST-64,ST-64,ML,2,0.02,26.95178235913045,0.10450477843788467,0.33900685850790824,0.7265019707175535,0.947164616800882,0.6541674909309282
F-36,ST-64,ST-64,ML,2,0.05,27.14158364334968,0.10524072758181342,0.3384631845258447,0.7262770156411198,0.9471211591288208,0.6538830399653581
F-36,ST-64,ST-64,ML,2,0.1,27.71098749600737,0.10744857501359974,0.3368267831732851,0.7255999245838209,0.94699035611877,0.6530268725559321
F-36,ST-64,ST-64,ML,2,0.15,29.79880162241888,0.11554401559681614,0.3307567475040439,0.7230883360528657,0.9465051579518227,0.6498510216524054
F-37,ST-81,ST-81,ML,1,0.02,19.67470043419155,0.13107728470480715,0.38591324158317497,0.7601099521125912,0.9387870506824105,0.6770256470787615
F-37,ST-81,ST-81,ML,1,0.05,21.011815997680294,0.13998544968474547,0.3795524350666255,0.7576251335442972,0.9381529973966495,0.673680228307583
F-37,ST-81,ST-81,ML,1,0.1,26.36027825163528,0.17561810960449886,0.3527345278116475,0.7471488466557433,0.9354797542838441,0.6595755498990981
F-37,ST-81,ST-81,ML,1,0.15,31.1356909783808,0.2074329845328501,0.3267522832301277,0.7369990073839244,0.9328898110894556,0.6459103820443278
F-37,ST-81,ST-81,ML,2,0.02,15.281320725585667,0.09340660590211289,0.4629924925608922,0.8551516413363905,0.9865152970838478,0.7486310110879709
F-37,ST-81,ST-81,ML,2,0.05,18.33758487070281,0.11208792708253551,0.45169406557835856,0.8521040887766412,0.9862315842322232,0.7433423063165243
F-37,ST-81,ST-81,ML,2,0.1,21.39384901581994,0.13076924826295808,0.43990999184926766,0.8489255415228614,0.9859356763888923,0.7378262741242141
F-37,ST-81,ST-81,ML,2,0.15,27.88841032419385,0.17046705577135604,0.41310654120196416,0.8416957807113271,0.9852626195617536,0.7252797897730058
F-38,ST-30,ST-30,ML,1,0.02,22.57379310344827,0.1689655172413793,0.35892116182572614,0.6597510373443983,0.8402489626556017,0.6147618618076853
F-38,ST-30,ST-30,ML,1,0.05,24.646896551724137,0.18448275862068966,0.346723044397463,0.653276955602537,0.8372093023255814,0.6074317492416582
F-38,ST-30,ST-30,ML,1,0.1,29.484137931034482,0.2206896551724138,0.3163716814159292,0.6371681415929203,0.8296460176991151,0.5891929588303193
F-38,ST-30,ST-30,ML,1,0.15,33.16965517241379,0.2482758620689655,0.2912844036697248,0.6238532110091742,0.8233944954128442,0.5741174710809733
F-38,ST-30,ST-30,ML,2,0.02,33.16965517241379,0.16906042391648213,0.5065230081981779,0.7813311674577188,0.8957756965066797,0.7077052748603672
F-38,ST-30,ST-30,ML,2,0.05,33.4,0.17023445463812437,0.5058247903075492,0.7810217741252223,0.8956282301109888,0.7072917086560265
F-38,ST-30,ST-30,ML,2,0.1,35.473103448275864,0.1808007311329045,0.49945077106593355,0.7781973276579677,0.8942820118942394,0.7035162698144707
F-38,ST-30,ST-30,ML,2,0.15,44.68689655172414,0.227761959998594,0.46901144318916344,0.7647090953781167,0.8878531047730026,0.6854865437624225
F-39,ST-83,ST-83,ML,1,0.02,60.49892262487757,0.37414299706170423,0.5039123630672926,0.6823161189358374,0.910798122065728,0.6905798073464945
F-39,ST-83,ST-83,ML,1,0.05,61.765915768854065,0.38197845249755147,0.4976228209191759,0.6782884310618068,0.9096671949286849,0.6866568888976388
F-39,ST-83,ST-83,ML,1,0.1,69.68462291870715,0.4309500489715965,0.45438898450946646,0.6506024096385544,0.9018932874354564,0.659691044568692
F-39,ST-83,ST-83,ML,1,0.15,75.38609206660138,0.466209598432909,0.418348623853211,0.6275229357798167,0.8954128440366975,0.6372119209071743
F-39,ST-83,ST-83,ML,2,0.02,18.054652301665037,0.09457649188928778,0.7637165243141951,0.9364346584872314,0.9987414655098651,0.8762102464855678
