model,tube_id,specimen_id,stage,stage_index,soil_type,test_family,strain_confidence,eps_obs,eps_pred,lambda_obs,lambda_pred,protocol_group,log_eps_obs,log_eps_pred,eps_log_residual,log1p_lambda_obs,log1p_lambda_pred,lambda_log_residual,joint_absolute_shape_error
StateInteraction,ST-54,ST-54,single,1,MH,single_stage,high_tick_calibrated,11.574626865671643,5.463979941636699,2.1779328605345136,2.3204990994874946,other,2.4488153632256275,1.6981774512582184,0.7506379119674091,1.1562309415649015,1.200115102800731,-0.04388416123582961,0.3972610366016194
StateInteraction,ST-57,ST-57,1st,1,ML,multistage,template_axis,3.020257826887661,4.134012440042158,0.7670144749911346,1.983356533977163,multistage_stage1,1.1053422008843086,1.4192484704573125,-0.31390626957300394,0.5692913851495834,1.0930490203405372,-0.5237576351909538,0.41883195238197884
StateInteraction,ST-57,ST-57,2nd,2,ML,multistage,template_axis,1.561694290976059,3.464335413884808,1.0882572405101605,2.276895273923413,multistage_later,0.44577131585796764,1.2425208145012991,-0.7967494986433314,0.736329861910006,1.186896411294329,-0.45056654938432295,0.6236580240138272
StateInteraction,ST-57,ST-57,3rd,3,ML,multistage,template_axis,1.1639042357274405,3.116647734721098,0.363409368061785,2.466427748616491,multistage_later,0.1517800742129223,1.1367579801929986,-0.9849779059800763,0.3099884510259088,1.2431245964358968,-0.933136145409988,0.9590570256950322
StateInteraction,ST-59,ST-59A,1st,1,SC,multistage,template_axis,2.5018726591760303,5.769901955059589,0.5971660063513222,2.5511835133945153,multistage_stage1,0.9170395151363964,1.7526550881849268,-0.8356155730485304,0.4682308127042802,1.2672809319820018,-0.7990501192777215,0.817332846163126
StateInteraction,ST-59,ST-59A,2nd,2,SC,multistage,template_axis,2.1872659176029967,5.593866447489684,4.346558774498098,3.2968163098057675,multistage_later,0.7826523244279777,1.7216707202526722,-0.9390183958246945,1.6764531342333797,1.4578743554047775,0.21857877882860222,0.5787985873266484
StateInteraction,ST-59,ST-59B,single,1,SC,single_stage,high_tick_calibrated,3.8382352941176463,5.4406869048001365,2.1939377982437227,2.9760612520601817,other,1.3450127021465865,1.6939053221612896,-0.3488926200147031,1.1612545750395453,1.3802916941233967,-0.21903711908385137,0.28396486954927724
StateInteraction,ST-60,ST-60,single,1,SC,single_stage,high_tick_calibrated,9.550561797752808,3.2686538641052727,5.921130160238131,2.464467571702048,other,2.256599979752222,1.1843782377998264,1.0722217419523956,1.9345790742481401,1.242558961874671,0.692020112373469,0.8821209271629323
StateInteraction,ST-62,ST-62,1st,1,ML,multistage,template_axis,2.339622641509434,2.1568092081497885,2.444090507019552,2.2640697391035696,multistage_stage1,0.849989652052915,0.7686299110840205,0.08135974096889453,1.2366598658425831,1.1829748030205347,0.053685062822048435,0.06752240189547148
StateInteraction,ST-62,ST-62,2nd,2,ML,multistage,template_axis,1.6905660377358491,1.976922027385824,2.5206470266803382,2.473305986102921,multistage_later,0.525063406428763,0.6815411035451662,-0.15647769711640314,1.2586447871160327,1.245106874143271,0.013537912972761745,0.08500780504458244
StateInteraction,ST-64,ST-64,1st,1,ML,multistage,template_axis,2.3547169811320754,2.6442912256625912,1.877808970267375,2.2095928815679464,multistage_stage1,0.8564205423832054,0.9724030617871395,-0.11598251940393411,1.0570292303995794,1.1661441009265725,-0.10911487052699309,0.1125486949654636
StateInteraction,ST-64,ST-64,2nd,2,ML,multistage,template_axis,0.9811320754716985,2.296886883182071,1.5614651664373538,2.505049623937081,multistage_later,-0.019048194970694137,0.8315546770359706,-0.8506028720066647,0.9405794254123464,1.2542046784282925,-0.3136252530159461,0.5821140625113055
StateInteraction,ST-65,ST-65A,single,1,ML,single_stage,template_axis,4.301886792452829,3.0345339234429467,0.8019182154275645,2.1093391187391552,other,1.4590537154023187,1.1100578454841925,0.34899586991812614,0.588851772710893,1.1344102015962574,-0.5455584288853644,0.4472771494017453
StateInteraction,ST-65,ST-65B,single,1,ML,single_stage,high_tick_calibrated,4.130019120458891,3.2458673756387983,1.3438884305385317,2.040865633242358,other,1.4182820366132878,1.177382610475442,0.24089942613784587,0.8518112726888326,1.1121422226622677,-0.2603309499734351,0.2506151880556405
StateInteraction,ST-74,ST-74,1st,1,ML,multistage,template_axis,3.625468164794007,1.7845891829352838,1.1040411088271778,2.4088973281960024,multistage_stage1,1.2879834288763274,0.5791882391270277,0.7087951897492998,0.74385983310055,1.226388874836565,-0.48252904173601496,0.5956621157426574
StateInteraction,ST-74,ST-74,2nd,2,ML,multistage,template_axis,2.1573033707865172,1.7392881911987652,2.591537319871672,2.6127341282875975,multistage_later,0.7688590022956419,0.5534759440101789,0.215383058285463,1.2785803336444483,1.2844648619370773,-0.005884528292628977,0.11063379328904599
StateInteraction,ST-75,ST-75,single,1,ML,single_stage,high_tick_calibrated,6.79035250463822,2.7848042651641047,2.031135401407161,2.1222641164964604,other,1.9155028554864149,1.0241775891011444,0.8913252663852704,1.1089372692676531,1.1385584170084107,-0.029621147740757525,0.460473207063014
StateInteraction,ST-77,ST-77,single,1,ML,single_stage,high_tick_calibrated,4.37593984962406,2.443642948225994,8.478443441583133,2.2929251929748875,other,1.476121319509684,0.893489937439478,0.582631382070206,2.2490201088598023,1.1917762861531642,1.057243822706638,0.8199376023884221
StateInteraction,ST-79,ST-79A,1st,1,ML,multistage,template_axis,3.756906077348066,2.771314160485957,0.6177995977893,2.1404414014755404,multistage_stage1,1.3235957669043266,1.01932163386295,0.3042741330413765,0.481066952985848,1.1443633637589277,-0.6632964107730797,0.4837852719072281
StateInteraction,ST-79,ST-79A,2nd,2,ML,multistage,template_axis,2.1510128913443833,2.179294396659121,1.7422327959612514,2.442004350428601,multistage_later,0.765938843454237,0.7790011531508667,-0.013062309696629693,1.0087724775951246,1.236053961713186,-0.22728148411806148,0.12017189690734559
StateInteraction,ST-79,ST-79A,3rd,3,ML,multistage,template_axis,1.9152854511970536,1.976026502901859,0.792674685525182,2.6429442194011727,multistage_later,0.649866672201483,0.681088011635457,-0.031221339433973982,0.5837087423138816,1.292792206188414,-0.7090834638745325,0.3701524016542532
